date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-03-07,FL,32266,,66,,82237.0,82237.0,3307.0,92.0,,,9339038.0,19166.0,864153.0,816231.0,16887410.0,,,1909209.0,1548837.0,4024.0,0.0,190026.0,,178979.0,,2502506.0,,22339182.0,64599.0,22339182.0,64599.0,1054711.0,,995580.0,,11248247.0,23190.0,19482607.0,52132.0
2021-03-07,GA,17906,15598.0,1,2308.0,56797.0,56797.0,2008.0,35.0,9263.0,,,0.0,,,,,,1023487.0,828336.0,1709.0,0.0,78312.0,168867.0,,,803515.0,,,0.0,7359069.0,18827.0,482568.0,1484921.0,,,,0.0,7359069.0,18827.0
2021-03-07,GU,133,,0,,,,2.0,0.0,,1.0,112887.0,0.0,,,,,1.0,7749.0,7540.0,0.0,0.0,27.0,248.0,,,,7590.0,,0.0,120636.0,0.0,358.0,9299.0,,,,0.0,120426.0,0.0
2021-03-07,HI,445,445.0,1,,2226.0,2226.0,27.0,0.0,,5.0,,0.0,,,,,3.0,28699.0,27891.0,53.0,0.0,,,,,27774.0,,1146796.0,5117.0,1146796.0,5117.0,,,,,,0.0,,0.0
2021-03-07,IA,5558,,6,,,,167.0,0.0,,35.0,1044418.0,1299.0,,93984.0,2432425.0,,6.0,282384.0,282384.0,257.0,0.0,,60700.0,19704.0,57190.0,306343.0,320054.0,,0.0,1326802.0,1556.0,,1390094.0,113739.0,247999.0,1329195.0,1555.0,2753899.0,4464.0
2021-03-07,ID,1879,1652.0,3,227.0,7184.0,7184.0,150.0,5.0,1245.0,33.0,505964.0,535.0,,,,,,172931.0,139874.0,104.0,0.0,,,,,,96017.0,,0.0,645838.0,396.0,,123809.0,,,645838.0,396.0,1103725.0,877.0
2021-03-07,IL,23014,20763.0,12,2251.0,,,1141.0,0.0,,255.0,,0.0,,,,,112.0,1198335.0,,1068.0,0.0,,,,,,,,0.0,18640190.0,68094.0,,,,,,0.0,18640190.0,68094.0
2021-03-07,IN,12737,12310.0,11,427.0,43217.0,43217.0,656.0,64.0,7600.0,104.0,2483156.0,4643.0,,,,,50.0,667262.0,,746.0,0.0,,,,,760491.0,,,0.0,8242367.0,29427.0,,,,,3150418.0,5389.0,8242367.0,29427.0
2021-03-07,KS,4812,,0,,9387.0,9387.0,235.0,0.0,2554.0,50.0,974686.0,0.0,,,,411.0,22.0,295861.0,,0.0,0.0,,,,,,,,0.0,1270547.0,0.0,,602322.0,,,1270547.0,0.0,2525259.0,0.0
2021-03-07,KY,4819,4369.0,13,450.0,19457.0,19457.0,558.0,6.0,4034.0,156.0,,0.0,,,,,82.0,410709.0,314385.0,525.0,0.0,9929.0,37655.0,,,251921.0,48145.0,,0.0,3975672.0,0.0,111886.0,509047.0,,,,0.0,3975672.0,0.0
2021-03-07,LA,9748,9033.0,32,715.0,,,532.0,0.0,,,5261679.0,20578.0,,,,,75.0,433785.0,372514.0,740.0,0.0,,,,,,415954.0,,0.0,5695464.0,21318.0,,469967.0,,,,0.0,5634193.0,21098.0
2021-03-07,MA,16417,16085.0,43,332.0,19713.0,19713.0,665.0,0.0,,174.0,4404792.0,8028.0,,,,,116.0,591356.0,559083.0,1425.0,0.0,,,15425.0,,668145.0,508745.0,,0.0,16825551.0,96578.0,,,156185.0,580372.0,4963875.0,9309.0,16825551.0,96578.0
2021-03-07,MD,7955,7773.0,14,182.0,35651.0,35651.0,818.0,79.0,,215.0,3034546.0,2050.0,,169779.0,,,,387319.0,387319.0,709.0,0.0,,,28360.0,,472716.0,9703.0,,0.0,8097590.0,33128.0,,,198139.0,,3421865.0,2759.0,8097590.0,33128.0
2021-03-07,ME,706,683.0,2,23.0,1570.0,1570.0,67.0,4.0,,16.0,,0.0,14232.0,,,,8.0,45794.0,35846.0,159.0,0.0,869.0,10749.0,,,41510.0,12840.0,,0.0,1660180.0,7490.0,15113.0,213426.0,,,,0.0,1660180.0,7490.0
2021-03-07,MI,16658,15666.0,0,992.0,,,866.0,0.0,,222.0,,0.0,,,9869602.0,,97.0,656072.0,596054.0,0.0,0.0,,,,,752365.0,549881.0,,0.0,10621967.0,0.0,537073.0,,,,,0.0,10621967.0,0.0
2021-03-07,MN,6550,6276.0,4,274.0,25978.0,25978.0,224.0,2.0,5364.0,57.0,3058514.0,8218.0,,,,,,490011.0,465547.0,895.0,0.0,,,,,,476055.0,7111428.0,25369.0,7111428.0,25369.0,,451963.0,,,3524061.0,8998.0,,0.0
2021-03-07,MO,8161,,0,,,,955.0,0.0,,197.0,1878583.0,2950.0,127001.0,,4025535.0,,135.0,480643.0,480643.0,291.0,0.0,24926.0,83657.0,,,530741.0,,,0.0,4565866.0,10659.0,152126.0,906752.0,135759.0,366813.0,2359226.0,3241.0,4565866.0,10659.0
2021-03-07,MP,2,2.0,0,,4.0,4.0,,0.0,,,17429.0,0.0,,,,,,145.0,145.0,1.0,0.0,,,,,,29.0,,0.0,17574.0,1.0,,,,,17542.0,0.0,26131.0,0.0
2021-03-07,MS,6808,4737.0,3,2071.0,9162.0,9162.0,419.0,0.0,,89.0,1459374.0,0.0,,,,,47.0,297581.0,184278.0,260.0,0.0,,,,,,278162.0,,0.0,1756955.0,260.0,81986.0,748339.0,,,,0.0,1642348.0,0.0
2021-03-07,MT,1381,,0,,4630.0,4630.0,63.0,1.0,,12.0,,0.0,,,,,6.0,100914.0,95390.0,72.0,0.0,,,,,,97943.0,,0.0,1104488.0,3132.0,,,,,,0.0,1104488.0,3132.0
2021-03-07,NC,11502,10169.0,0,1333.0,,,1179.0,0.0,,309.0,,0.0,,,,,,872176.0,759617.0,0.0,0.0,,,,,,,,0.0,9688838.0,0.0,,805924.0,,,,0.0,9688838.0,0.0
2021-03-07,ND,1478,,0,,3880.0,3880.0,23.0,2.0,567.0,3.0,305912.0,-109.0,,,,,,100391.0,94928.0,34.0,0.0,,,,,,98326.0,1425146.0,679.0,1425146.0,679.0,,156698.0,,,406303.0,-75.0,1536487.0,881.0
2021-03-07,NE,2113,,0,,6237.0,6237.0,137.0,8.0,,,771128.0,542.0,,,2182938.0,,,203026.0,,373.0,0.0,,,,,235965.0,157144.0,,0.0,2421684.0,1.0,,,,,974759.0,978.0,2421684.0,1.0
2021-03-07,NH,1184,,3,,1131.0,1131.0,68.0,4.0,348.0,,579582.0,396.0,,,,,,76861.0,54064.0,166.0,0.0,,,,,,73615.0,,0.0,1497185.0,15697.0,39545.0,205103.0,37918.0,,633646.0,521.0,1497185.0,15697.0
2021-03-07,NJ,23574,21177.0,17,2397.0,64396.0,64396.0,1792.0,58.0,,376.0,10186941.0,0.0,,,,,232.0,812609.0,720939.0,2519.0,0.0,,,,,,,,0.0,10999550.0,2519.0,,,,,,0.0,10902830.0,0.0
2021-03-07,NM,3808,,12,,13252.0,13252.0,169.0,10.0,,,,0.0,,,,,,186922.0,,180.0,0.0,,,,,,156554.0,,0.0,2783542.0,11702.0,,,,,,0.0,2783542.0,11702.0
2021-03-07,NV,5037,,1,,,,399.0,0.0,,87.0,1131758.0,1829.0,,,,,48.0,296190.0,296190.0,730.0,0.0,,,,,,,2770192.0,6201.0,2770192.0,6201.0,,,,,1427948.0,2059.0,,0.0
2021-03-07,NY,39029,,59,,,,4789.0,0.0,,999.0,,0.0,,,,,682.0,1681169.0,,6789.0,0.0,,,,,,,39695100.0,227768.0,39695100.0,227768.0,,,,,,0.0,,0.0
2021-03-07,OH,17656,14752.0,0,2594.0,50881.0,50881.0,820.0,33.0,7207.0,260.0,,0.0,,,,,171.0,978471.0,836358.0,735.0,0.0,,86990.0,,,864925.0,925655.0,,0.0,10257157.0,29289.0,,1798150.0,,,,0.0,10257157.0,29289.0
2021-03-07,OK,4534,,0,,24332.0,24332.0,346.0,55.0,,100.0,3146300.0,0.0,,,3146300.0,,,428997.0,,461.0,0.0,23139.0,,,,389855.0,412177.0,,0.0,3575297.0,461.0,152279.0,,,,,0.0,3548479.0,0.0
2021-03-07,OR,2296,,3,,8714.0,8714.0,158.0,0.0,,32.0,,0.0,,,3624001.0,,12.0,157079.0,,195.0,0.0,,,,,226972.0,,,0.0,3850973.0,0.0,,,,,,0.0,3850973.0,0.0
2021-03-07,PA,24349,,32,,,,1587.0,0.0,,314.0,3942124.0,6592.0,,,,,183.0,948643.0,814540.0,1658.0,0.0,,,,,,861756.0,10681716.0,52432.0,10681716.0,52432.0,,,,,4756664.0,8073.0,,0.0
2021-03-07,PR,2062,1752.0,3,310.0,,,134.0,0.0,,21.0,305972.0,0.0,,,395291.0,,19.0,101632.0,93620.0,305.0,0.0,85241.0,,,,20103.0,91987.0,,0.0,407604.0,305.0,,,,,,0.0,415664.0,0.0
2021-03-07,RI,2547,,0,,9020.0,9020.0,141.0,0.0,,25.0,677570.0,1421.0,,,2970088.0,,16.0,128781.0,,265.0,0.0,,,,,153260.0,,3123348.0,13513.0,3123348.0,13513.0,,,,,806351.0,1686.0,,0.0
2021-03-07,SC,8754,7744.0,35,1010.0,20725.0,20725.0,579.0,66.0,,137.0,4657179.0,25856.0,106809.0,,4526263.0,,83.0,525865.0,449977.0,1408.0,0.0,28316.0,111239.0,,,580893.0,218863.0,,0.0,5183044.0,27264.0,135125.0,912838.0,,,,0.0,5107156.0,26282.0
2021-03-07,SD,1900,,2,,6705.0,6705.0,72.0,13.0,,9.0,314540.0,524.0,,,,,6.0,113589.0,100690.0,211.0,0.0,,,,,105096.0,109531.0,,0.0,701924.0,1275.0,,,,,428129.0,735.0,701924.0,1275.0
2021-03-07,TN,11543,9278.0,0,2265.0,18870.0,18870.0,851.0,0.0,,218.0,,0.0,,,6119050.0,,127.0,782206.0,653905.0,0.0,0.0,,140582.0,,,753695.0,756793.0,,0.0,6872745.0,0.0,,1430665.0,,,,0.0,6872745.0,0.0
2021-03-07,TX,44451,,84,,,,4721.0,0.0,,1463.0,,0.0,,,,,,2686818.0,2320857.0,2953.0,0.0,159003.0,211014.0,,,2628176.0,2502609.0,,0.0,19907384.0,76040.0,1033285.0,2664340.0,,,,0.0,19907384.0,76040.0
2021-03-07,UT,1976,,1,,14891.0,14891.0,212.0,24.0,2344.0,73.0,1560293.0,3204.0,,,2564131.0,822.0,,374850.0,,412.0,0.0,,60158.0,,57683.0,345990.0,358958.0,,0.0,2910121.0,6828.0,,1002177.0,,371319.0,1876802.0,3460.0,2910121.0,6828.0
2021-03-07,VA,9596,8104.0,77,1492.0,24661.0,24661.0,1127.0,24.0,,258.0,,0.0,,,,,168.0,585700.0,461172.0,1163.0,0.0,28980.0,125061.0,,,562266.0,,6038209.0,19925.0,6038209.0,19925.0,224284.0,1454389.0,,,,0.0,,0.0
2021-03-07,VI,25,25.0,0,,,,,0.0,,,46167.0,0.0,,,,,,2714.0,,0.0,0.0,,,,,,2559.0,,0.0,48881.0,0.0,,,,,48961.0,0.0,,0.0
2021-03-07,VT,208,,0,,,,31.0,0.0,,1.0,320060.0,643.0,,,,,,16083.0,15635.0,119.0,0.0,,,,,,13384.0,,0.0,1124215.0,8748.0,,,,,335695.0,759.0,1124215.0,8748.0
2021-03-07,WA,5041,,0,,19599.0,19599.0,431.0,43.0,,98.0,,0.0,,,5068404.0,,43.0,344532.0,325053.0,664.0,0.0,,,,,324994.0,,5393756.0,24040.0,5393756.0,24040.0,,,,,,0.0,,0.0
2021-03-07,WI,7106,6481.0,4,625.0,26457.0,26457.0,249.0,25.0,2273.0,66.0,2647864.0,3521.0,,,,,,621654.0,566693.0,377.0,0.0,,,,,,553203.0,7080595.0,19193.0,7080595.0,19193.0,,,,,3214557.0,3850.0,,0.0
2021-03-07,WV,2325,1981.0,2,344.0,,,179.0,0.0,,40.0,,0.0,,,,,26.0,133445.0,106629.0,155.0,0.0,,,,,,125383.0,,0.0,2236551.0,6449.0,33011.0,,,,,0.0,2236551.0,6449.0
2021-03-07,WY,682,,0,,1391.0,1391.0,21.0,0.0,,,182264.0,0.0,,,602513.0,,,54764.0,46397.0,0.0,0.0,,,,,38993.0,53550.0,,0.0,649293.0,0.0,,,,,228661.0,0.0,649293.0,0.0
2021-03-06,AK,305,,0,,1293.0,1293.0,33.0,0.0,,,,0.0,,,1660758.0,,2.0,56886.0,,0.0,0.0,,,,,68693.0,,,0.0,1731628.0,0.0,,,,,,0.0,1731628.0,0.0
2021-03-06,AL,10149,7963.0,27,2186.0,45976.0,45976.0,526.0,0.0,2675.0,,1929624.0,4866.0,,,,1514.0,,499411.0,391817.0,524.0,0.0,,,,,,295690.0,,0.0,2321441.0,5314.0,,,119456.0,,2321441.0,5314.0,,0.0
2021-03-06,AR,5297,4302.0,14,995.0,14915.0,14915.0,345.0,12.0,,148.0,2477449.0,4711.0,,,2477449.0,1533.0,75.0,324653.0,255613.0,327.0,0.0,,,,81756.0,,315181.0,,0.0,2733062.0,4959.0,,,,479963.0,,0.0,2733062.0,4959.0
2021-03-06,AS,0,,0,,,,,0.0,,,2140.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,2140.0,0.0,,,,,,0.0,2140.0,0.0
2021-03-06,AZ,16323,14395.0,54,1928.0,57863.0,57863.0,966.0,44.0,,280.0,3059332.0,8442.0,,,,,140.0,825119.0,768757.0,1735.0,0.0,,,,,,,,0.0,7862995.0,35425.0,580318.0,,443336.0,,3828089.0,9639.0,7862995.0,35425.0
2021-03-06,CA,53866,,418,,,,4513.0,0.0,,1221.0,,0.0,,,,,,3497578.0,3497578.0,4452.0,0.0,,,,,,,,0.0,49512828.0,218325.0,,,,,,0.0,49512828.0,218325.0
2021-03-06,CO,5986,5251.0,0,735.0,23886.0,23886.0,326.0,23.0,,,2199458.0,5505.0,368326.0,,,,,435762.0,410976.0,1108.0,0.0,62612.0,,,,,,6376960.0,33600.0,6376960.0,33600.0,433082.0,,,,2610434.0,6427.0,,0.0
2021-03-06,CT,7704,6327.0,0,1377.0,,,428.0,0.0,,,,0.0,,,6188566.0,,,285330.0,265709.0,0.0,0.0,,22245.0,,,323284.0,,,0.0,6520366.0,0.0,,396680.0,,,,0.0,6520366.0,0.0
2021-03-06,DC,1030,,3,,,,150.0,0.0,,40.0,,0.0,,,,,15.0,41273.0,,151.0,0.0,,,,,,29470.0,1255637.0,8000.0,1255637.0,8000.0,,,,,440793.0,1280.0,,0.0
2021-03-06,DE,1464,1328.0,11,136.0,,,114.0,0.0,,12.0,544153.0,1362.0,,,,,,88139.0,83424.0,265.0,0.0,,,,,91685.0,,1426075.0,8757.0,1426075.0,8757.0,,,,,632292.0,1627.0,,0.0
2021-03-06,FL,32200,,107,,82145.0,82145.0,3352.0,243.0,,,9319872.0,23282.0,864153.0,816231.0,16841086.0,,,1905185.0,1545643.0,4587.0,0.0,190026.0,,178979.0,,2496909.0,,22274583.0,87820.0,22274583.0,87820.0,1054711.0,,995580.0,,11225057.0,27869.0,19430475.0,59303.0
2021-03-06,GA,17905,15597.0,90,2308.0,56762.0,56762.0,2071.0,135.0,9260.0,,,0.0,,,,,,1021778.0,827397.0,2269.0,0.0,77793.0,168005.0,,,802411.0,,,0.0,7340242.0,24765.0,481545.0,1478232.0,,,,0.0,7340242.0,24765.0
2021-03-06,GU,133,,0,,,,2.0,0.0,,1.0,112887.0,0.0,,,,,1.0,7749.0,7540.0,1.0,0.0,27.0,248.0,,,,7590.0,,0.0,120636.0,1.0,358.0,9299.0,,,,0.0,120426.0,0.0
2021-03-06,HI,444,444.0,1,,2226.0,2226.0,27.0,1.0,,5.0,,0.0,,,,,3.0,28646.0,27838.0,85.0,0.0,,,,,27726.0,,1141679.0,5284.0,1141679.0,5284.0,,,,,,0.0,,0.0
2021-03-06,IA,5552,,3,,,,170.0,0.0,,38.0,1043119.0,1515.0,,93873.0,2428315.0,,10.0,282127.0,282127.0,362.0,0.0,,60633.0,19635.0,57133.0,306056.0,319780.0,,0.0,1325246.0,1877.0,,1388623.0,113559.0,247775.0,1327640.0,1871.0,2749435.0,7094.0
2021-03-06,ID,1876,1649.0,0,227.0,7179.0,7179.0,150.0,15.0,1245.0,33.0,505429.0,504.0,,,,,,172827.0,140013.0,240.0,0.0,,,,,,95808.0,,0.0,645442.0,646.0,,123809.0,,,645442.0,646.0,1102848.0,2572.0
2021-03-06,IL,23002,20750.0,56,2252.0,,,1210.0,0.0,,261.0,,0.0,,,,,108.0,1197267.0,,2565.0,0.0,,,,,,,,0.0,18572096.0,79248.0,,,,,,0.0,18572096.0,79248.0
2021-03-06,IN,12726,12299.0,29,427.0,43153.0,43153.0,663.0,49.0,7586.0,118.0,2478513.0,5155.0,,,,,60.0,666516.0,,1231.0,0.0,,,,,759598.0,,,0.0,8212940.0,41718.0,,,,,3145029.0,6386.0,8212940.0,41718.0
2021-03-06,KS,4812,,0,,9387.0,9387.0,235.0,0.0,2554.0,50.0,974686.0,0.0,,,,411.0,22.0,295861.0,,0.0,0.0,,,,,,,,0.0,1270547.0,0.0,,602322.0,,,1270547.0,0.0,2525259.0,0.0
2021-03-06,KY,4806,4356.0,52,450.0,19451.0,19451.0,591.0,71.0,4034.0,171.0,,0.0,,,,,72.0,410184.0,313998.0,839.0,0.0,9929.0,37655.0,,,251921.0,48131.0,,0.0,3975672.0,5773.0,111886.0,509047.0,,,,0.0,3975672.0,5773.0
2021-03-06,LA,9716,9007.0,0,709.0,,,538.0,0.0,,,5241101.0,0.0,,,,,77.0,433045.0,371994.0,0.0,0.0,,,,,,415954.0,,0.0,5674146.0,0.0,,466494.0,,,,0.0,5613095.0,0.0
2021-03-06,MA,16374,16044.0,52,330.0,19713.0,19713.0,687.0,0.0,,176.0,4396764.0,7826.0,,,,,114.0,589931.0,557802.0,1722.0,0.0,,,15425.0,,666605.0,508745.0,,0.0,16728973.0,100359.0,,,156185.0,578153.0,4954566.0,9321.0,16728973.0,100359.0
2021-03-06,MD,7941,7759.0,11,182.0,35572.0,35572.0,830.0,194.0,,230.0,3032496.0,7547.0,,169779.0,,,,386610.0,386610.0,932.0,0.0,,,28360.0,,471762.0,9703.0,,0.0,8064462.0,40384.0,,,198139.0,,3419106.0,8479.0,8064462.0,40384.0
2021-03-06,ME,704,681.0,0,23.0,1566.0,1566.0,74.0,6.0,,20.0,,0.0,14232.0,,,,9.0,45635.0,35759.0,183.0,0.0,869.0,10646.0,,,41390.0,12838.0,,0.0,1652690.0,8103.0,15113.0,210929.0,,,,0.0,1652690.0,8103.0
2021-03-06,MI,16658,15666.0,57,992.0,,,866.0,0.0,,222.0,,0.0,,,9869602.0,,97.0,656072.0,596054.0,1692.0,0.0,,,,,752365.0,549881.0,,0.0,10621967.0,37232.0,537073.0,,,,,0.0,10621967.0,37232.0
2021-03-06,MN,6546,6272.0,12,274.0,25976.0,25976.0,224.0,38.0,5364.0,57.0,3050296.0,6988.0,,,,,,489116.0,464767.0,946.0,0.0,,,,,,475170.0,7086059.0,28026.0,7086059.0,28026.0,,448578.0,,,3515063.0,7786.0,,0.0
2021-03-06,MO,8161,,3,,,,1001.0,0.0,,198.0,1875633.0,3308.0,126755.0,,4015210.0,,136.0,480352.0,480352.0,386.0,0.0,24832.0,83481.0,,,530416.0,,,0.0,4555207.0,14140.0,151786.0,900275.0,135520.0,364697.0,2355985.0,3694.0,4555207.0,14140.0
2021-03-06,MP,2,2.0,0,,4.0,4.0,,0.0,,,17429.0,0.0,,,,,,144.0,144.0,0.0,0.0,,,,,,29.0,,0.0,17573.0,0.0,,,,,17542.0,0.0,26131.0,0.0
2021-03-06,MS,6805,4734.0,22,2071.0,9162.0,9162.0,419.0,0.0,,89.0,1459374.0,0.0,,,,,47.0,297321.0,184157.0,576.0,0.0,,,,,,278162.0,,0.0,1756695.0,576.0,81986.0,748339.0,,,,0.0,1642348.0,0.0
2021-03-06,MT,1381,,2,,4629.0,4629.0,63.0,19.0,,12.0,,0.0,,,,,6.0,100842.0,95336.0,186.0,0.0,,,,,,97801.0,,0.0,1101356.0,4443.0,,,,,,0.0,1101356.0,4443.0
2021-03-06,NC,11502,10169.0,56,1333.0,,,1179.0,0.0,,309.0,,0.0,,,,,,872176.0,759617.0,2027.0,0.0,,,,,,,,0.0,9688838.0,38654.0,,805924.0,,,,0.0,9688838.0,38654.0
2021-03-06,ND,1478,,0,,3878.0,3878.0,21.0,3.0,567.0,3.0,306021.0,111.0,,,,,,100357.0,94906.0,79.0,0.0,,,,,,98240.0,1424467.0,1930.0,1424467.0,1930.0,,156289.0,,,406378.0,190.0,1535606.0,2599.0
2021-03-06,NE,2113,,1,,6229.0,6229.0,136.0,3.0,,,770586.0,1354.0,,,2183243.0,,,202653.0,,343.0,0.0,,,,,235726.0,156825.0,,0.0,2421683.0,10138.0,,,,,973781.0,1701.0,2421683.0,10138.0
2021-03-06,NH,1181,,3,,1127.0,1127.0,90.0,1.0,348.0,,579186.0,1496.0,,,,,,76695.0,53939.0,273.0,0.0,,,,,,73327.0,,0.0,1481488.0,0.0,39484.0,201268.0,37902.0,,633125.0,1680.0,1481488.0,0.0
2021-03-06,NJ,23557,21160.0,36,2397.0,64338.0,64338.0,1862.0,-916.0,,382.0,10186941.0,0.0,,,,,233.0,810090.0,718873.0,3720.0,0.0,,,,,,,,0.0,10997031.0,3720.0,,,,,,0.0,10902830.0,0.0
2021-03-06,NM,3796,,9,,13242.0,13242.0,148.0,13.0,,,,0.0,,,,,,186742.0,,282.0,0.0,,,,,,155000.0,,0.0,2771840.0,13846.0,,,,,,0.0,2771840.0,13846.0
2021-03-06,NV,5036,,16,,,,399.0,0.0,,87.0,1129929.0,2551.0,,,,,48.0,295460.0,295960.0,0.0,0.0,,,,,,,2763991.0,9659.0,2763991.0,9659.0,,,,,1425889.0,3051.0,,0.0
2021-03-06,NY,38970,,79,,,,4954.0,0.0,,1012.0,,0.0,,,,,694.0,1674380.0,,7647.0,0.0,,,,,,,39467332.0,273132.0,39467332.0,273132.0,,,,,,0.0,,0.0
2021-03-06,OH,17656,14752.0,0,2594.0,50848.0,50848.0,922.0,66.0,7205.0,273.0,,0.0,,,,,188.0,977736.0,835856.0,1506.0,0.0,,86651.0,,,863985.0,923986.0,,0.0,10227868.0,40190.0,,1787169.0,,,,0.0,10227868.0,40190.0
2021-03-06,OK,4534,,0,,24277.0,24277.0,346.0,120.0,,100.0,3146300.0,11240.0,,,3146300.0,,,428536.0,,978.0,0.0,23139.0,,,,389855.0,411624.0,,0.0,3574836.0,12218.0,152279.0,,,,,0.0,3548479.0,11750.0
2021-03-06,OR,2293,,9,,8714.0,8714.0,158.0,15.0,,32.0,,0.0,,,3624001.0,,12.0,156884.0,,211.0,0.0,,,,,226972.0,,,0.0,3850973.0,52906.0,,,,,,0.0,3850973.0,52906.0
2021-03-06,PA,24317,,55,,,,1513.0,0.0,,314.0,3935532.0,9494.0,,,,,171.0,946985.0,813059.0,2789.0,0.0,,,,,,859218.0,10629284.0,0.0,10629284.0,0.0,,,,,4748591.0,11534.0,,0.0
2021-03-06,PR,2059,1749.0,3,310.0,,,147.0,0.0,,24.0,305972.0,0.0,,,395291.0,,18.0,101327.0,93336.0,261.0,0.0,84115.0,,,,20103.0,91987.0,,0.0,407299.0,261.0,,,,,,0.0,415664.0,0.0
2021-03-06,RI,2547,,6,,9020.0,9020.0,141.0,0.0,,25.0,676149.0,1634.0,,,2956871.0,,16.0,128516.0,,395.0,0.0,,,,,152964.0,,3109835.0,21854.0,3109835.0,21854.0,,,,,804665.0,2029.0,,0.0
2021-03-06,SC,8719,7711.0,20,1008.0,20659.0,20659.0,623.0,54.0,,157.0,4631323.0,27774.0,106601.0,,4501627.0,,86.0,524457.0,449151.0,1199.0,0.0,28174.0,110613.0,,,579247.0,218863.0,,0.0,5155780.0,28973.0,134775.0,902974.0,,,,0.0,5080874.0,29050.0
2021-03-06,SD,1898,,2,,6692.0,6692.0,74.0,11.0,,10.0,314016.0,756.0,,,,,7.0,113378.0,100533.0,149.0,0.0,,,,,105003.0,109371.0,,0.0,700649.0,2193.0,,,,,427394.0,905.0,700649.0,2193.0
